date,total,mean,std,up,count,max,min,sharpe,uppct
4/4/2018,-1.460006714,-1.460006714,0,0,1,-1.460006714,-1.460006714,0,0
5/31/2018,0.639984131,0.639984131,0,1,1,0.639984131,0.639984131,0,1
6/5/2018,0.5,0.5,0,1,1,0.5,0.5,0,1
6/7/2018,0.040000916,0.040000916,0,1,1,0.040000916,0.040000916,0,1
6/18/2018,0.529998779,0.529998779,0,1,1,0.529998779,0.529998779,0,1
6/20/2018,-1.460006714,-1.460006714,0,0,1,-1.460006714,-1.460006714,0,0
7/2/2018,0.009998322,0.009998322,0,1,1,0.009998322,0.009998322,0,1
8/28/2018,0.209991455,0.209991455,0,1,1,0.209991455,0.209991455,0,1
9/14/2018,1.5,1.5,0,1,1,1.5,1.5,0,1
10/1/2018,0.13999939,0.13999939,0,1,1,0.13999939,0.13999939,0,1
10/11/2018,-0.739997864,-0.739997864,0,0,1,-0.739997864,-0.739997864,0,0
11/6/2018,-0.13999939,-0.13999939,0,0,1,-0.13999939,-0.13999939,0,0
11/13/2018,0.990005493,0.990005493,0,1,1,0.990005493,0.990005493,0,1
12/3/2018,5.130012512,1.710004171,1.242256194,3,3,3.450004578,0.630004883,21.85175231,1
12/24/2018,-1.150001526,-1.150001526,0,0,1,-1.150001526,-1.150001526,0,0
1/2/2019,-0.36000061,-0.36000061,0,0,1,-0.36000061,-0.36000061,0,0
1/18/2019,2.430007935,2.430007935,0,1,1,2.430007935,2.430007935,0,1
2/15/2019,0.279998779,0.279998779,0,1,1,0.279998779,0.279998779,0,1
2/27/2019,-0.489997864,-0.489997864,0,0,1,-0.489997864,-0.489997864,0,0
4/2/2019,1.619998932,1.619998932,0,1,1,1.619998932,1.619998932,0,1
6/3/2019,-0.429998398,-0.429998398,0,0,1,-0.429998398,-0.429998398,0,0
7/1/2019,0.949981689,0.949981689,0,1,1,0.949981689,0.949981689,0,1
7/15/2019,0.220001221,0.220001221,0,1,1,0.220001221,0.220001221,0,1
8/9/2019,-1.220001221,-1.220001221,0,0,1,-1.220001221,-1.220001221,0,0
9/23/2019,-0.180000305,-0.180000305,0,0,1,-0.180000305,-0.180000305,0,0
9/26/2019,16.55004883,16.55004883,0,1,1,16.55004883,16.55004883,0,1
10/3/2019,-0.049999237,-0.049999237,0,0,1,-0.049999237,-0.049999237,0,0
11/21/2019,-0.679992676,-0.679992676,0,0,1,-0.679992676,-0.679992676,0,0
12/5/2019,1,1,0,1,1,1,1,0,1
12/9/2019,0.38999939,0.38999939,0,1,1,0.38999939,0.38999939,0,1
12/23/2019,1.850006104,0.925003052,0.664993286,2,2,1.589996338,0.260009766,22.08137815,1
1/28/2020,0.450012207,0.450012207,0,1,1,0.450012207,0.450012207,0,1
3/3/2020,-0.200000763,-0.200000763,0,0,1,-0.200000763,-0.200000763,0,0
