,cik,date,name,value,variable
427,1757898,11/30/1983,STERIS plc,STE,added_ticker
403,315213,11/30/1983,Robert Half International,RHI,added_ticker
45,315293,11/30/1983,Aon plc,AON,added_ticker
101,316709,11/30/1983,Charles Schwab Corporation,SCHW,added_ticker
40,318154,11/30/1983,Amgen Inc.,AMGN,added_ticker
278,319201,11/30/1983,KLA Corporation,KLAC,added_ticker
343,320187,11/30/1983,Nike,NKE,added_ticker
49,320193,11/30/1983,Apple Inc.,AAPL,added_ticker
216,320335,11/30/1983,Globe Life Inc.,GL,added_ticker
22,352541,11/30/1983,Alliant Energy Corp,LNT,added_ticker
464,352915,11/30/1983,"Universal Health Services, Inc.",UHS,added_ticker
55,354190,11/30/1983,Arthur J. Gallagher & Co.,AJG,added_ticker
196,354908,11/30/1983,FLIR Systems,FLIR,added_ticker
236,354950,11/30/1983,Home Depot,HD,added_ticker
107,701221,11/30/1983,CIGNA Corp.,CI,added_ticker
282,701985,11/30/1983,L Brands Inc.,LB,added_ticker
347,702165,11/30/1983,Norfolk Southern Corp.,NSC,added_ticker
285,707549,11/30/1983,Lam Research,LRCX,added_ticker
127,711404,11/30/1983,The Cooper Companies,COO,added_ticker
168,712515,11/30/1983,Electronic Arts,EA,added_ticker
378,713676,11/30/1983,PNC Financial Services,PNC,added_ticker
153,715957,11/30/1983,Dominion Energy,D,added_ticker
5,718877,11/30/1983,Activision Blizzard,ATVI,added_ticker
429,719739,11/30/1983,SVB Financial,SIVB,added_ticker
395,720005,11/30/1983,Raymond James Financial Inc.,RJF,added_ticker
88,721371,11/30/1983,Cardinal Health Inc.,CAH,added_ticker
320,723125,11/30/1983,Micron Technology,MU,added_ticker
109,723254,11/30/1983,Cintas Corporation,CTAS,added_ticker
141,315189,11/30/1983,Deere & Co.,DE,added_ticker
106,313927,11/30/1983,Church & Dwight,CHD,added_ticker
138,313616,11/30/1983,Danaher Corp.,DHR,added_ticker
428,310764,11/30/1983,Stryker Corp.,SYK,added_ticker
424,93556,11/30/1983,Stanley Black & Decker,SWK,added_ticker
426,93751,11/30/1983,State Street Corp.,STT,added_ticker
432,96021,11/30/1983,Sysco Corp.,SYY,added_ticker
440,96943,11/30/1983,Teleflex,TFX,added_ticker
441,97476,11/30/1983,Texas Instruments,TXN,added_ticker
443,97745,11/30/1983,Thermo Fisher Scientific,TMO,added_ticker
444,98246,11/30/1983,Tiffany & Co.,TIF,added_ticker
452,100493,11/30/1983,Tyson Foods,TSN,added_ticker
459,100517,11/30/1983,United Airlines Holdings,UAL,added_ticker
458,100885,11/30/1983,Union Pacific Corp,UNP,added_ticker
302,101778,11/30/1983,Marathon Oil Corp.,MRO,added_ticker
463,101829,11/30/1983,United Technologies,UTX,added_ticker
466,103379,11/30/1983,V.F. Corp.,VFC,added_ticker
365,723531,11/30/1983,Paychex Inc.,PAYX,added_ticker
480,104169,11/30/1983,Walmart,WMT,added_ticker
491,106535,11/30/1983,Weyerhaeuser,WY,added_ticker
492,106640,11/30/1983,Whirlpool Corp.,WHR,added_ticker
493,107263,11/30/1983,Williams Cos.,WMB,added_ticker
497,108772,11/30/1983,Xerox,XRX,added_ticker
445,109198,11/30/1983,TJX Companies Inc.,TJX,added_ticker
503,109380,11/30/1983,Zions Bancorp,ZION,added_ticker
267,200406,11/30/1983,Johnson & Johnson,JNJ,added_ticker
283,202058,11/30/1983,L3Harris Technologies,LHX,added_ticker
468,203527,11/30/1983,Varian Medical Systems,VAR,added_ticker
442,217346,11/30/1983,Textron Inc.,TXT,added_ticker
219,277135,11/30/1983,Grainger (W.W.) Inc.,GWW,added_ticker
134,277948,11/30/1983,CSX Corp.,CSX,added_ticker
315,310158,11/30/1983,Merck & Co.,MRK,added_ticker
488,106040,11/30/1983,Western Digital,WDC,added_ticker
103,93410,11/30/1983,Chevron Corp.,CVX,added_ticker
397,726728,11/30/1983,Realty Income Corporation,O,added_ticker
460,731766,11/30/1983,United Health Group Inc.,UNH,added_ticker
116,811156,11/30/1983,CMS Energy,CMS,added_ticker
84,813672,11/30/1983,Cadence Design Systems,CDNS,added_ticker
337,814453,11/30/1983,Newell Brands,NWL,added_ticker
3,815094,11/30/1983,ABIOMED Inc,ABMD,added_ticker
90,815097,11/30/1983,Carnival Corp.,CCL,added_ticker
187,815556,11/30/1983,Fastenal Co,FAST,added_ticker
143,818479,11/30/1983,Dentsply Sirona,XRAY,added_ticker
37,820027,11/30/1983,Ameriprise Financial,AMP,added_ticker
41,820313,11/30/1983,Amphenol Corp,APH,added_ticker
171,821189,11/30/1983,EOG Resources,EOG,added_ticker
388,822416,11/30/1983,PulteGroup,PHM,added_ticker
483,823768,11/30/1983,Waste Management Inc.,WM,added_ticker
166,827052,11/30/1983,Edison Int'l,EIX,added_ticker
319,827054,11/30/1983,Microchip Technology,MCHP,added_ticker
425,829224,11/30/1983,Starbucks Corp.,SBUX,added_ticker
111,831001,11/30/1983,Citigroup Inc.,C,added_ticker
206,831259,11/30/1983,Freeport-McMoRan Inc.,FCX,added_ticker
244,832101,11/30/1983,IDEX Corporation,IEX,added_ticker
268,833444,11/30/1983,Johnson Controls International,JCI,added_ticker
350,849399,11/30/1983,NortonLifeLock,NLOK,added_ticker
323,851968,11/30/1983,Mohawk Industries,MHK,added_ticker
83,858470,11/30/1983,Cabot Oil & Gas,COG,added_ticker
110,858877,11/30/1983,Cisco Systems,CSCO,added_ticker
235,859737,11/30/1983,Hologic,HOLX,added_ticker
226,860730,11/30/1983,HCA Healthcare,HCA,added_ticker
326,865752,11/30/1983,Monster Beverage,MNST,added_ticker
60,866787,11/30/1983,AutoZone Inc,AZO,added_ticker
99,804753,11/30/1983,Cerner,CERN,added_ticker
392,804328,11/30/1983,QUALCOMM Inc.,QCOM,added_ticker
194,798354,11/30/1983,Fiserv Inc,FISV,added_ticker
357,797468,11/30/1983,Occidental Petroleum,OXY,added_ticker
57,731802,11/30/1983,Atmos Energy Corp,ATO,added_ticker
472,732712,11/30/1983,Verizon Communications,VZ,added_ticker
34,732717,11/30/1983,AT&T,T,added_ticker
469,740260,11/30/1983,Ventas Inc,VTR,added_ticker
311,743316,11/30/1983,Maxim Integrated Products Inc,MXIM,added_ticker
498,743988,11/30/1983,Xilinx,XLNX,added_ticker
407,745732,11/30/1983,Ross Stores,ROST,added_ticker
182,746515,11/30/1983,Expeditors,EXPD,added_ticker
209,749251,11/30/1983,Gartner Inc,IT,added_ticker
341,753308,11/30/1983,NextEra Energy,NEE,added_ticker
112,759944,11/30/1983,Citizens Financial Group,CFG,added_ticker
26,764180,11/30/1983,Altria Group Inc,MO,added_ticker
70,764478,11/30/1983,Best Buy Co. Inc.,BBY,added_ticker
265,728535,11/30/1983,J. B. Hunt Transport Services,JBHT,added_ticker
376,764622,11/30/1983,Pinnacle West Capital,PNW,added_ticker
14,766421,11/30/1983,Alaska Air Group Inc,ALK,added_ticker
487,766704,11/30/1983,Welltower Inc.,WELL,added_ticker
58,769397,11/30/1983,Autodesk Inc.,ADSK,added_ticker
237,773840,11/30/1983,Honeywell Int'l Inc.,HON,added_ticker
263,779152,11/30/1983,Jack Henry & Associates,JKHY,added_ticker
158,783280,11/30/1983,Duke Realty Corp,DRE,added_ticker
485,783325,11/30/1983,Wec Energy Group Inc,WEC,added_ticker
386,788784,11/30/1983,Public Serv. Enterprise Inc.,PEG,added_ticker
321,789019,11/30/1983,Microsoft Corp.,MSFT,added_ticker
318,789570,11/30/1983,MGM Resorts International,MGM,added_ticker
223,793952,11/30/1983,Harley-Davidson,HOG,added_ticker
301,794367,11/30/1983,Macy's Inc.,M,added_ticker
6,796343,11/30/1983,Adobe Inc.,ADBE,added_ticker
227,765880,11/30/1983,Healthpeak Properties,PEAK,added_ticker
423,92380,11/30/1983,Southwest Airlines,LUV,added_ticker
450,92230,11/30/1983,Truist Financial,TFC,added_ticker
422,92122,11/30/1983,Southern Co.,SO,added_ticker
117,21344,11/30/1983,Coca-Cola Company,KO,added_ticker
119,21665,11/30/1983,Colgate-Palmolive,CL,added_ticker
122,23217,11/30/1983,Conagra Brands,CAG,added_ticker
324,24545,11/30/1983,Molson Coors Brewing Company,TAP,added_ticker
129,24741,11/30/1983,Corning Inc.,GLW,added_ticker
135,26172,11/30/1983,Cummins Inc.,CMI,added_ticker
437,27419,11/30/1983,Target Corp.,TGT,added_ticker
142,27904,11/30/1983,Delta Air Lines Inc.,DAL,added_ticker
121,28412,11/30/1983,Comerica Inc.,CMA,added_ticker
151,29534,11/30/1983,Dollar General,DG,added_ticker
154,29905,11/30/1983,Dover Corp.,DOV,added_ticker
359,29989,11/30/1983,Omnicom Group,OMC,added_ticker
197,30625,11/30/1983,Flowserve Corporation,FLS,added_ticker
165,31462,11/30/1983,Ecolab Inc.,ECL,added_ticker
371,31791,11/30/1983,PerkinElmer,PKI,added_ticker
169,32604,11/30/1983,Emerson Electric Company,EMR,added_ticker
172,33185,11/30/1983,Equifax Inc.,EFX,added_ticker
184,34088,11/30/1983,Exxon Mobil Corp.,XOM,added_ticker
188,34903,11/30/1983,Federal Realty Investment Trust,FRT,added_ticker
191,35527,11/30/1983,Fifth Third Bancorp,FITB,added_ticker
455,36104,11/30/1983,U.S. Bancorp,USB,added_ticker
300,36270,11/30/1983,M&T Bank Corp.,MTB,added_ticker
198,37785,11/30/1983,FMC Corporation,FMC,added_ticker
199,37996,11/30/1983,Ford Motor Company,F,added_ticker
205,38777,11/30/1983,Franklin Resources,BEN,added_ticker
207,39911,11/30/1983,Gap Inc.,GPS,added_ticker
210,40533,11/30/1983,General Dynamics,GD,added_ticker
114,21076,11/30/1983,The Clorox Company,CLX,added_ticker
108,20286,11/30/1983,Cincinnati Financial,CINF,added_ticker
269,19617,11/30/1983,JPMorgan Chase & Co.,JPM,added_ticker
98,18926,11/30/1983,CenturyLink Inc,CTL,added_ticker
1,1800,11/30/1983,Abbott Laboratories,ABT,added_ticker
7,2488,11/30/1983,Advanced Micro Devices Inc,AMD,added_ticker
12,2969,11/30/1983,Air Products & Chemicals Inc,APD,added_ticker
419,4127,11/30/1983,Skyworks Solutions,SWKS,added_ticker
53,4281,11/30/1983,Arconic Inc.,ARNC,added_ticker
231,4447,11/30/1983,Hess Corporation,HES,added_ticker
31,4904,11/30/1983,American Electric Power,AEP,added_ticker
32,4962,11/30/1983,American Express Co,AXP,added_ticker
10,4977,11/30/1983,AFLAC Inc,AFL,added_ticker
33,5272,11/30/1983,American International Group,AIG,added_ticker
465,5513,11/30/1983,Unum Group,UNM,added_ticker
30,6201,11/30/1983,American Airlines Group,AAL,added_ticker
42,6281,11/30/1983,"Analog Devices, Inc.",ADI,added_ticker
211,40545,11/30/1983,General Electric,GE,added_ticker
47,6769,11/30/1983,Apache Corporation,APA,added_ticker
52,7084,11/30/1983,Archer-Daniels-Midland Co,ADM,added_ticker
59,8670,11/30/1983,Automatic Data Processing,ADP,added_ticker
62,8818,11/30/1983,Avery Dennison Corp,AVY,added_ticker
64,9389,11/30/1983,Ball Corp,BLL,added_ticker
67,10456,11/30/1983,Baxter International Inc.,BAX,added_ticker
68,10795,11/30/1983,Becton Dickinson,BDX,added_ticker
478,11544,11/30/1983,W. R. Berkley Corporation,WRB,added_ticker
220,12659,11/30/1983,H&R Block,HRB,added_ticker
73,12927,11/30/1983,Boeing Company,BA,added_ticker
81,14693,11/30/1983,Brown-Forman Corp.,BF.B,added_ticker
85,16732,11/30/1983,Campbell Soup,CPB,added_ticker
126,16918,11/30/1983,Constellation Brands,STZ,added_ticker
91,18230,11/30/1983,Caterpillar Inc.,CAT,added_ticker
50,6951,11/30/1983,Applied Materials Inc.,AMAT,added_ticker
212,40704,11/30/1983,General Mills,GIS,added_ticker
214,40987,11/30/1983,Genuine Parts,GPC,added_ticker
221,45012,11/30/1983,Halliburton Co.,HAL,added_ticker
330,68505,11/30/1983,Motorola Solutions Inc.,MSI,added_ticker
65,70858,11/30/1983,Bank of America Corp,BAC,added_ticker
345,72207,11/30/1983,Noble Energy Inc,NBL,added_ticker
346,72333,11/30/1983,Nordstrom,JWN,added_ticker
178,72741,11/30/1983,Eversource Energy,ES,added_ticker
496,72903,11/30/1983,Xcel Energy Inc,XEL,added_ticker
486,72971,11/30/1983,Wells Fargo,WFC,added_ticker
348,73124,11/30/1983,Northern Trust Corp.,NTRS,added_ticker
353,73309,11/30/1983,Nucor Corp.,NUE,added_ticker
453,74208,11/30/1983,"UDR, Inc.",UDR,added_ticker
362,75362,11/30/1983,PACCAR Inc.,PCAR,added_ticker
363,75677,11/30/1983,Packaging Corporation of America,PKG,added_ticker
364,76334,11/30/1983,Parker-Hannifin,PH,added_ticker
0,66740,11/30/1983,3M Company,MMM,added_ticker
368,77360,11/30/1983,Pentair plc,PNR,added_ticker
373,78003,11/30/1983,Pfizer Inc.,PFE,added_ticker
389,78239,11/30/1983,PVH Corp.,PVH,added_ticker
379,79879,11/30/1983,PPG Industries,PPG,added_ticker
382,80424,11/30/1983,Procter & Gamble,PG,added_ticker
383,80661,11/30/1983,Progressive Corp.,PGR,added_ticker
405,84839,11/30/1983,Rollins Inc.,ROL,added_ticker
449,86312,11/30/1983,The Travelers Companies Inc.,TRV,added_ticker
412,87347,11/30/1983,Schlumberger Ltd.,SLB,added_ticker
417,89800,11/30/1983,Sherwin-Williams,SHW,added_ticker
46,91142,11/30/1983,A.O. Smith Corp,AOS,added_ticker
266,91419,11/30/1983,JM Smucker,SJM,added_ticker
421,91440,11/30/1983,Snap-on,SNA,added_ticker
273,91576,11/30/1983,KeyCorp,KEY,added_ticker
370,77476,11/30/1983,PepsiCo Inc.,PEP,added_ticker
399,872589,11/30/1983,Regeneron Pharmaceuticals,REGN,added_ticker
170,65984,11/30/1983,Entergy Corp.,ETR,added_ticker
409,64040,11/30/1983,"S&P Global, Inc.",SPGI,added_ticker
225,46080,11/30/1983,Hasbro Inc.,HAS,added_ticker
228,46765,11/30/1983,Helmerich & Payne,HP,added_ticker
230,47111,11/30/1983,The Hershey Company,HSY,added_ticker
240,47217,11/30/1983,HP Inc.,HPQ,added_ticker
234,48039,11/30/1983,HollyFrontier Corp,HFC,added_ticker
238,48465,11/30/1983,Hormel Foods Corp.,HRL,added_ticker
241,49071,11/30/1983,Humana Inc.,HUM,added_ticker
242,49196,11/30/1983,Huntington Bancshares,HBAN,added_ticker
247,49826,11/30/1983,Illinois Tool Works,ITW,added_ticker
251,50863,11/30/1983,Intel Corp.,INTC,added_ticker
253,51143,11/30/1983,International Business Machines,IBM,added_ticker
256,51253,11/30/1983,Intl Flavors & Fragrances,IFF,added_ticker
254,51434,11/30/1983,International Paper,IP,added_ticker
136,64803,11/30/1983,CVS Health,CVS,added_ticker
255,51644,11/30/1983,Interpublic Group,IPG,added_ticker
271,54480,11/30/1983,Kansas City Southern,KSU,added_ticker
272,55067,11/30/1983,Kellogg Co.,K,added_ticker
275,55785,11/30/1983,Kimberly-Clark,KMB,added_ticker
281,56873,11/30/1983,Kroger Co.,KR,added_ticker
288,58492,11/30/1983,Leggett & Platt,LEG,added_ticker
291,59478,11/30/1983,Lilly (Eli) & Co.,LLY,added_ticker
292,59558,11/30/1983,Lincoln National,LNC,added_ticker
297,60086,11/30/1983,Loews Corp.,L,added_ticker
298,60667,11/30/1983,Lowe's Cos.,LOW,added_ticker
306,62709,11/30/1983,Marsh & McLennan,MMC,added_ticker
308,62996,11/30/1983,Masco Corp.,MAS,added_ticker
310,63754,11/30/1983,McCormick & Co.,MKC,added_ticker
312,63908,11/30/1983,McDonald's Corp.,MCD,added_ticker
264,52988,11/30/1983,Jacobs Engineering Group,J,added_ticker
245,874716,11/30/1983,IDEXX Laboratories,IDXX,added_ticker
78,14272,11/30/1983,Bristol-Myers Squibb,BMY,added_ticker
224,874766,11/30/1983,Hartford Financial Svc.Gp.,HIG,added_ticker
287,1300514,11/30/1983,Las Vegas Sands,LVS,added_ticker
95,1306830,11/30/1983,Celanese,CE,added_ticker
203,1308161,11/30/1983,Fox Corporation Class A,FOXA,added_ticker
204,1308161,11/30/1983,Fox Corporation Class B,FOX,added_ticker
100,1324404,11/30/1983,CF Industries Holdings Inc,CF,added_ticker
181,1324424,11/30/1983,Expedia Group,EXPE,added_ticker
157,1326160,11/30/1983,Duke Energy,DUK,added_ticker
186,1326801,11/30/1983,"Facebook, Inc.",FB,added_ticker
294,1335258,11/30/1983,Live Nation Entertainment,LYV,added_ticker
457,1336917,11/30/1983,Under Armour Class C,UA,added_ticker
456,1336917,11/30/1983,Under Armour Class A,UAA,added_ticker
289,1336920,11/30/1983,Leidos Holdings,LDOS,added_ticker
474,1339947,11/30/1983,ViacomCBS,VIAC,added_ticker
361,1341439,11/30/1983,Oracle Corp.,ORCL,added_ticker
123,1358071,11/30/1983,Concho Resources,CXO,added_ticker
222,1359841,11/30/1983,Hanesbrands Inc,HBI,added_ticker
72,1364742,11/30/1983,BlackRock,BLK,added_ticker
489,1365135,11/30/1983,Western Union Co,WU,added_ticker
416,1373715,11/30/1983,ServiceNow,NOW,added_ticker
92,1374310,11/30/1983,Cboe Global Markets,CBOE,added_ticker
369,1378946,11/30/1983,People's United Financial,PBCT,added_ticker
80,1383312,11/30/1983,Broadridge Financial Solutions,BR,added_ticker
438,1385157,11/30/1983,TE Connectivity Ltd.,TEL,added_ticker
66,1390777,11/30/1983,The Bank of New York Mellon Corp.,BK,added_ticker
387,1393311,11/30/1983,Public Storage,PSA,added_ticker
147,1393612,11/30/1983,Discover Financial Services,DFS,added_ticker
477,1396009,11/30/1983,Vulcan Materials,VMC,added_ticker
146,1297996,11/30/1983,Digital Realty Trust Inc,DLR,added_ticker
183,1289490,11/30/1983,Extra Space Storage,EXR,added_ticker
